666c2a10c15e8460b709e4274eeea607;0f1720ea-3e52-4298-9f56-9922d052e1f9;O
f6c1745c228243a937a6efde9fd7eb22;0f1720ea-3e52-4298-9f56-9922d052e1f9;P
2919b5d849c10b28a8f8b459f57603f6;06bebe83-b2f9-4edb-8725-6a8a04e394e0;O
27b51ae2d153c3c9d92cebdca66e5918;06bebe83-b2f9-4edb-8725-6a8a04e394e0;P
8905bd8db77b30191b410e5fd2b4f284;10db8a9c-7570-4648-b6c2-aa2f23acbae4;O
adea45c3c52696c07485b17c50aeb415;10db8a9c-7570-4648-b6c2-aa2f23acbae4;P
e4765353a6fe36f254e67a3f7c62719e;b5ce0513-9d81-4c16-b7f9-c3b3fa2cee16;O
9d212ba6f4e7afce19d8eb3a836065af;b5ce0513-9d81-4c16-b7f9-c3b3fa2cee16;P
37c8b54a97a37a699832ecaa6a7ed026;532ec869-5515-442b-a41a-82493623ec28;O
310b79e78786aec9156b52908c6b2c8d;532ec869-5515-442b-a41a-82493623ec28;P
c8a52a5748507b94d04538af217c99a4;1ef48768-69c4-46b3-8023-f9244d5dc19b;O
34c9c480597bdbe71d694f667392ed93;1ef48768-69c4-46b3-8023-f9244d5dc19b;P
7d3043aa94768ce8e8f768a056a84428;5efe289d-eb17-494b-ac4b-37ac87b79a17;O
4b940cc9aa7204cda236fb5a614fa646;5efe289d-eb17-494b-ac4b-37ac87b79a17;P